family,fold,project,partition,task,class,count
within_project,3,CDT,TRAINING,S6,critical,321
within_project,3,CDT,TRAINING,S6,major,1287
within_project,3,CDT,TRAINING,S6,normal,9312
within_project,3,CDT,TRAINING,S6,minor,605
within_project,3,CDT,TRAINING,S6,trivial,128
within_project,3,CDT,TRAINING,S3,HIGH,1778
within_project,3,CDT,TRAINING,S3,MEDIUM,9312
within_project,3,CDT,TRAINING,S3,LOW,733
within_project,3,CDT,TRAINING,S2,HIGH_IMPACT,1778
within_project,3,CDT,TRAINING,S2,LOWER_IMPACT,10045
within_project,3,CDT,VALIDATION,S6,blocker,30
within_project,3,CDT,VALIDATION,S6,critical,91
within_project,3,CDT,VALIDATION,S6,major,309
within_project,3,CDT,VALIDATION,S6,normal,3124
within_project,3,CDT,VALIDATION,S6,minor,215
within_project,3,CDT,VALIDATION,S6,trivial,47
within_project,3,CDT,VALIDATION,S3,HIGH,430
within_project,3,CDT,VALIDATION,S3,MEDIUM,3124
within_project,3,CDT,VALIDATION,S3,LOW,262
within_project,3,CDT,VALIDATION,S2,HIGH_IMPACT,430
within_project,3,CDT,VALIDATION,S2,LOWER_IMPACT,3386
within_project,3,EQUINOX,TRAINING,S6,blocker,151
within_project,3,EQUINOX,TRAINING,S6,critical,254
within_project,3,EQUINOX,TRAINING,S6,major,567
within_project,3,EQUINOX,TRAINING,S6,normal,6639
within_project,3,EQUINOX,TRAINING,S6,minor,204
within_project,3,EQUINOX,TRAINING,S6,trivial,58
within_project,3,EQUINOX,TRAINING,S3,HIGH,972
within_project,3,EQUINOX,TRAINING,S3,MEDIUM,6639
within_project,3,EQUINOX,TRAINING,S3,LOW,262
within_project,3,EQUINOX,TRAINING,S2,HIGH_IMPACT,972
within_project,3,EQUINOX,TRAINING,S2,LOWER_IMPACT,6901
within_project,3,EQUINOX,VALIDATION,S6,blocker,34
within_project,3,EQUINOX,VALIDATION,S6,critical,107
within_project,3,EQUINOX,VALIDATION,S6,major,293
within_project,3,EQUINOX,VALIDATION,S6,normal,1990
within_project,3,EQUINOX,VALIDATION,S6,minor,100
within_project,3,EQUINOX,VALIDATION,S6,trivial,23
within_project,3,EQUINOX,VALIDATION,S3,HIGH,434
within_project,3,EQUINOX,VALIDATION,S3,MEDIUM,1990
within_project,3,EQUINOX,VALIDATION,S3,LOW,123
within_project,3,EQUINOX,VALIDATION,S2,HIGH_IMPACT,434
within_project,3,EQUINOX,VALIDATION,S2,LOWER_IMPACT,2113
within_project,3,JDT,TRAINING,S6,blocker,267
within_project,3,JDT,TRAINING,S6,critical,976
within_project,3,JDT,TRAINING,S6,major,2699
